run_id,beam_file,N,loss_sigma,learning_rate,final_apodized_loss,k_t_inferred,exec_time_seconds,status,output_directory
55,beam_v1_256.mat,6,100.0,0.01,26.56749725341797,1.9918259382247925,140.4,EXITOSO,outputs/20260623_003047_beam_v1_256
56,beam_v1_256.mat,6,100.0,0.0001,50.305850982666016,1.990647792816162,139.59,EXITOSO,outputs/20260623_003307_beam_v1_256
57,beam_v1_256.mat,6,100.0,1e-06,273.31781005859375,1.9994357824325562,138.53,EXITOSO,outputs/20260623_003525_beam_v1_256
58,beam_v1_256.mat,6,100000.0,0.01,0.16462716460227966,2.21209454536438,139.55,EXITOSO,outputs/20260623_003745_beam_v1_256
59,beam_v1_256.mat,6,100000.0,0.0001,0.05047466233372688,1.9906455278396606,139.89,EXITOSO,outputs/20260623_004004_beam_v1_256
60,beam_v1_256.mat,6,100000.0,1e-06,0.2768334746360779,1.9806805849075317,139.54,EXITOSO,outputs/20260623_004224_beam_v1_256
61,beam_v1_256.mat,7,1.0,0.01,100.72381591796875,2.3140523433685303,158.86,EXITOSO,outputs/20260623_004503_beam_v1_256
62,beam_v1_256.mat,7,1.0,0.0001,92.6484603881836,1.9494534730911255,156.52,EXITOSO,outputs/20260623_004739_beam_v1_256
63,beam_v1_256.mat,7,1.0,1e-06,408.91168212890625,0.9996527433395386,157.9,EXITOSO,outputs/20260623_005017_beam_v1_256
64,beam_v1_256.mat,7,10.0,0.01,993.8302001953125,1.0186171531677246,158.17,EXITOSO,outputs/20260623_005256_beam_v1_256
65,beam_v1_256.mat,7,10.0,0.0001,993.5546875,1.10127592086792,157.05,EXITOSO,outputs/20260623_005533_beam_v1_256
66,beam_v1_256.mat,7,10.0,1e-06,2093.50244140625,1.0095473527908325,157.68,EXITOSO,outputs/20260623_005810_beam_v1_256
67,beam_v1_256.mat,7,100.0,0.01,134.8250732421875,1.0804890394210815,157.74,EXITOSO,outputs/20260623_010048_beam_v1_256
68,beam_v1_256.mat,7,100.0,0.0001,134.8448028564453,1.1807565689086914,158.67,EXITOSO,outputs/20260623_010327_beam_v1_256
69,beam_v1_256.mat,7,100.0,1e-06,267.138427734375,0.9898644089698792,158.71,EXITOSO,outputs/20260623_010605_beam_v1_256
70,beam_v1_256.mat,7,100000.0,0.01,0.1352788805961609,0.7630610466003418,158.26,EXITOSO,outputs/20260623_010844_beam_v1_256
71,beam_v1_256.mat,7,100000.0,0.0001,0.13528406620025635,0.7720826268196106,156.59,EXITOSO,outputs/20260623_011120_beam_v1_256
72,beam_v1_256.mat,7,100000.0,1e-06,0.25617802143096924,0.9907757043838501,157.23,EXITOSO,outputs/20260623_011357_beam_v1_256
73,beam_v1_256.mat,8,1.0,0.01,43.97991943359375,1.9886417388916016,162.48,EXITOSO,outputs/20260623_011640_beam_v1_256
74,beam_v1_256.mat,8,1.0,0.0001,214.47579956054688,0.4876210689544678,163.25,EXITOSO,outputs/20260623_011923_beam_v1_256
75,beam_v1_256.mat,8,1.0,1e-06,392.4450378417969,1.0095367431640625,163.58,EXITOSO,outputs/20260623_012207_beam_v1_256
76,beam_v1_256.mat,8,10.0,0.01,196.4240264892578,2.816593885421753,162.17,EXITOSO,outputs/20260623_012449_beam_v1_256
77,beam_v1_256.mat,8,10.0,0.0001,196.16775512695312,2.816772222518921,160.77,EXITOSO,outputs/20260623_012730_beam_v1_256
78,beam_v1_256.mat,8,10.0,1e-06,1738.37744140625,2.8288471698760986,162.46,EXITOSO,outputs/20260623_013012_beam_v1_256
79,beam_v1_256.mat,8,100.0,0.01,26.528043746948242,2.8170998096466064,162.45,EXITOSO,outputs/20260623_013255_beam_v1_256
80,beam_v1_256.mat,8,100.0,0.0001,26.514461517333984,2.8167669773101807,162.34,EXITOSO,outputs/20260623_013537_beam_v1_256
81,beam_v1_256.mat,8,100.0,1e-06,260.6727294921875,2.8479206562042236,164.46,EXITOSO,outputs/20260623_013822_beam_v1_256
82,beam_v1_256.mat,8,100000.0,0.01,0.026627790182828903,2.816804885864258,159.97,EXITOSO,outputs/20260623_014101_beam_v1_256
83,beam_v1_256.mat,8,100000.0,0.0001,0.026600807905197144,2.8167757987976074,161.18,EXITOSO,outputs/20260623_014343_beam_v1_256
84,beam_v1_256.mat,8,100000.0,1e-06,0.2709507346153259,2.8479206562042236,163.89,EXITOSO,outputs/20260623_014627_beam_v1_256
85,beam_v1_256.mat,9,1.0,0.01,83.76742553710938,2.3794894218444824,184.11,EXITOSO,outputs/20260623_014931_beam_v1_256
86,beam_v1_256.mat,9,1.0,0.0001,77.66461944580078,1.8857368230819702,182.98,EXITOSO,outputs/20260623_015233_beam_v1_256
87,beam_v1_256.mat,9,1.0,1e-06,434.17852783203125,2.2828855514526367,183.63,EXITOSO,outputs/20260623_015537_beam_v1_256
88,beam_v1_256.mat,9,10.0,0.01,993.847412109375,1.9102754592895508,184.54,EXITOSO,outputs/20260623_015842_beam_v1_256
89,beam_v1_256.mat,9,10.0,0.0001,989.5330810546875,2.0900535583496094,185.05,EXITOSO,outputs/20260623_020147_beam_v1_256
90,beam_v1_256.mat,9,10.0,1e-06,1935.0343017578125,2.140976667404175,184.33,EXITOSO,outputs/20260623_020451_beam_v1_256
91,beam_v1_256.mat,9,100.0,0.01,134.7530517578125,0.9641690850257874,185.16,EXITOSO,outputs/20260623_020756_beam_v1_256
92,beam_v1_256.mat,9,100.0,0.0001,134.7783203125,1.166145920753479,184.53,EXITOSO,outputs/20260623_021101_beam_v1_256
93,beam_v1_256.mat,9,100.0,1e-06,250.0335693359375,1.1518915891647339,184.84,EXITOSO,outputs/20260623_021406_beam_v1_256
94,beam_v1_256.mat,9,100000.0,0.01,0.13522838056087494,1.4040093421936035,183.84,EXITOSO,outputs/20260623_021710_beam_v1_256
95,beam_v1_256.mat,9,100000.0,0.0001,0.13529254496097565,0.9951465129852295,182.86,EXITOSO,outputs/20260623_022013_beam_v1_256
96,beam_v1_256.mat,9,100000.0,1e-06,0.24293722212314606,1.1517679691314697,186.28,EXITOSO,outputs/20260623_022319_beam_v1_256
97,beam_v1_256.mat,10,1.0,0.01,43.9835205078125,2.460629463195801,201.38,EXITOSO,outputs/20260623_022640_beam_v1_256
98,beam_v1_256.mat,10,1.0,0.0001,43.982845306396484,2.460221529006958,206.0,EXITOSO,outputs/20260623_023006_beam_v1_256
99,beam_v1_256.mat,10,1.0,1e-06,380.5709228515625,2.5650923252105713,199.95,EXITOSO,outputs/20260623_023326_beam_v1_256
100,beam_v1_256.mat,10,10.0,0.01,196.38558959960938,2.462108850479126,200.79,EXITOSO,outputs/20260623_023647_beam_v1_256
